Taxa de desocupação - PNAD Contínua
Sigla;Código;Estado;2017 T1;2017 T2;2017 T3;2017 T4;
AC;12;Acre;15,9;14,9;13,5;12,2;
AL;27;Alagoas;17,5;17,8;15,9;15,5;
AM;13;Amazonas;17,7;15,5;16;13,5;
AP;16;Amapá;18,5;17,1;16,6;18,7;
BA;29;Bahia;18,6;17,5;16,7;15;
CE;23;Ceará;14,2;13,2;11,8;11,1;
DF;53;Distrito Federal;14,1;13,1;12,3;13,2;
ES;32;Espírito Santo;14,5;13,4;13;11,6;
GO;52;Goiás;12,7;11;9,2;9,4;
MA;21;Maranhão;15;14,6;14,4;13,3;
MG;31;Minas Gerais;13,7;12,2;12,3;10,6;
MS;50;Mato Grosso do Sul;9,8;8,9;7,9;7,3;
MT;51;Mato Grosso;10,5;8,6;9,4;7,3;
PA;15;Pará;13,8;11,4;11,1;10,7;
PB;25;Paraíba;13,2;11,4;10,8;10,1;
PE;26;Pernambuco;17,1;18,8;17,9;16,8;
PI;22;Piauí;12,6;13,5;12;13,3;
PR;41;Paraná;10,3;8,9;8,5;8,3;
RJ;33;Rio de Janeiro;14,5;15,6;14,5;15,1;
RN;24;Rio Grande do Norte;16,3;15,6;13,7;12,3;
RO;11;Rondônia;8,1;9;8,1;7,7;
RR;14;Roraima;10,3;10,8;8,9;9,4;
RS;43;Rio Grande do Sul;9,1;8,4;8,1;8;
SC;42;Santa Catarina;7,9;7,5;6,7;6,3;
SE;28;Sergipe;16,1;14,1;13,6;13,4;
SP;35;São Paulo;14,2;13,5;13,2;12,7;
TO;17;Tocantins;12,6;11,7;11,8;10,5;
