Índice de Desenvolvimento Humano (IDH)
Sigla;Código;Estado;2017;
AC;12;Acre;0,712;
AL;27;Alagoas;0,679;
AM;13;Amazonas;0,728;
AP;16;Amapá;0,732;
BA;29;Bahia;0,71;
CE;23;Ceará;0,73;
DF;53;Distrito Federal;0,842;
ES;32;Espírito Santo;0,78;
GO;52;Goiás;0,765;
MA;21;Maranhão;0,685;
MG;31;Minas Gerais;0,784;
MS;50;Mato Grosso do Sul;0,762;
MT;51;Mato Grosso;0,77;
PA;15;Pará;0,694;
PB;25;Paraíba;0,717;
PE;26;Pernambuco;0,722;
PI;22;Piauí;0,694;
PR;41;Paraná;0,797;
RJ;33;Rio de Janeiro;0,791;
RN;24;Rio Grande do Norte;0,728;
RO;11;Rondônia;0,721;
RR;14;Roraima;0,746;
RS;43;Rio Grande do Sul;0,793;
SC;42;Santa Catarina;0,817;
SE;28;Sergipe;0,699;
SP;35;São Paulo;0,831;
TO;17;Tocantins;0,74;
