Número de homicídios
Sigla;Código;Estado;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;137;114;123;157;137;133;153;165;164;207;234;232;217;363;516;408;318;295;204;
AL;27;Alagoas;1043;1039;1203;1621;1828;1889;1876;2087;2243;2046;2148;2085;1747;1820;1812;1441;1115;1292;1070;
AM;13;Amazonas;558;527;600;698;714;831;917;1082;1291;1344;1189;1232;1472;1447;1671;1540;1590;1321;1804;
AP;16;Amapá;188;172;197;203;174;210;190;260;209;252;225;256;293;381;383;426;361;387;462;
BA;29;Bahia;2146;2243;2830;3256;3582;4651;5279;5677;5389;5964;5537;5881;5902;7061;7374;6675;6012;6962;7094;
CE;23;Ceará;1572;1546;1701;1794;1933;2024;2165;2687;2791;3840;4472;4626;4162;3642;5432;4900;2417;3992;3471;
DF;53;Distrito Federal;742;696;657;660;711;812;882;786;902;954;837;843;742;760;610;530;480;453;401;
ES;32;Espírito Santo;1629;1620;1604;1759;1867;1930;1970;1787;1671;1660;1617;1609;1448;1266;1521;1164;1038;1212;1206;
GO;52;Goiás;1344;1534;1480;1507;1504;1776;1873;1942;2231;2750;2888;2815;2938;2968;2843;2635;2219;2148;1786;
MA;21;Maranhão;798;734;938;968;1128;1276;1399;1514;1586;1769;2145;2446;2424;2381;2159;1970;1696;2088;1993;
MG;31;Minas Gerais;3860;4262;4216;4157;4114;3862;3714;3606;4211;4487;4648;4664;4489;4573;4256;3325;2878;2725;2555;
MS;50;Mato Grosso do Sul;680;640;617;684;710;698;725;655;673;682;621;699;634;670;656;569;491;490;550;
MT;51;Mato Grosso;890;844;885;892;885;929;990;958;998;1064;1149;1353;1198;1175;1098;985;894;983;884;
PA;15;Pará;1405;1517;1924;2057;2177;2838;2973;3497;3050;3220;3377;3429;3661;4207;4550;4494;3352;2777;2811;
PB;25;Paraíba;606;662;747;814;864;1030;1257;1448;1608;1507;1529;1529;1511;1342;1341;1240;940;1130;1135;
PE;26;Pernambuco;4446;4102;4256;4423;4466;4351;3896;3419;3389;3245;3067;3298;3776;4352;5320;4125;3394;3699;3368;
PI;22;Piauí;307;338;371;419;380;362;388;404;436;522;593;710;645;698;622;604;553;655;745;
PR;41;Paraná;2545;2827;2984;3077;3074;3373;3629;3501;3282;3395;2861;2932;2899;3035;2736;2409;2063;2265;2332;
RJ;33;Rio de Janeiro;7460;7163;7021;6802;6029;5181;4929;5200;4410;4364;4737;5296;4784;5659;5976;6056;3417;4587;4582;
RN;24;Rio Grande do Norte;412;351;411;464;600;729;806;809;1053;1124;1447;1602;1545;1854;2203;1824;1345;1406;1179;
RO;11;Rondônia;556;561;553;582;431;468;527;534;442;518;476;572;592;689;550;470;445;448;530;
RR;14;Roraima;106;85;98;110;116;103;118;121;94;144;214;158;203;204;248;414;234;237;258;
RS;43;Rio Grande do Sul;1923;1993;2043;1999;2211;2397;2257;2084;2076;2382;2321;2723;2944;3225;3316;2699;2184;2094;1888;
SC;42;Santa Catarina;676;656;642;674;641;813;825;821;810;819;784;896;942;974;1057;839;760;728;708;
SE;28;Sergipe;471;451;486;590;523;554;648;666;713;857;945;1081;1293;1454;1309;1133;972;980;789;
SP;35;São Paulo;13443;10880;8499;8255;6351;6238;6401;5902;5703;6404;5892;6036;5305;4755;4541;3646;3300;3317;3031;
TO;17;Tocantins;209;202;192;235;228;248;290;324;358;369;345;373;492;566;552;562;448;481;441;
